x,y
0,0
0.01,1.6147701173730677
0.02,3.118211301219802
0.03,4.4079244119053165
0.04,5.398604157299783
0.05,6.028740053470407
0.06,6.265287429732499
0.07,6.1059222264875395
0.08,5.578707512987036
0.09,4.739227822009302
0.1,3.665468789467727
0.11,2.4509141707615174
0.12,1.1964826529645107
0.13,0.0020197674137356625
0.14,-1.0419121891869647
0.15,-1.861242724287112
0.16,-2.403998655985636
0.17,-2.6438592951439244
0.18,-2.5814057712194343
0.19,-2.243019962177332
0.2,-1.6775990443005149
0.21,-0.9514424395527211
0.22,-0.1418217078317645
0.23,0.6701527407744581
0.24,1.4067098382243501
0.25,1.9999999999999996
0.26,2.3975162269562635
0.27,2.565915236725332
0.28,2.492962717001658
0.29,2.1875104170525095
0.3,1.677599044300515
0.31,1.006951984677543
0.32,0.23026476204954127
0.33,-0.5922086823558672
0.34,-1.4002274091949807
0.35000000000000003,-2.138757275712887
0.36,-2.7623138759936507
0.37,-3.2380877449135266
0.38,-3.5476236621343995
0.39,-3.686982148261305
0.4,-3.6654687894677265
0.41000000000000003,-3.50315984450951
0.42,-3.2275665038171417
0.43,-2.8698542489877505
0.44,-2.461061364551885
0.45,-2.0287400534704076
0.46,-1.594378092119168
0.47000000000000003,-1.1718564344055282
0.48,-0.7670702920499126
0.49,-0.37870213987328005
0.5,-7.347880794884119e-16
0.51,0.3787021398732754
0.52,0.7670702920499108
0.53,1.1718564344055271
0.54,1.5943780921191713
0.55,2.0287400534704094
0.56,2.4610613645518864
0.5700000000000001,2.869854248987751
0.58,3.227566503817142
0.59,3.5031598445095087
0.6,3.6654687894677265
0.61,3.686982148261302
0.62,3.5476236621344004
0.63,3.23808774491353
0.64,2.762313875993648
0.65,2.1387572757128894
0.66,1.4002274091949756
0.67,0.5922086823558652
0.68,-0.2302647620495426
0.6900000000000001,-1.0069519846775445
0.7000000000000001,-1.67759904430052
0.71,-2.187510417052506
0.72,-2.492962717001655
0.73,-2.5659152367253304
0.74,-2.3975162269562613
0.75,-2.0000000000000013
0.76,-1.406709838224356
0.77,-0.6701527407744576
0.78,0.14182170783176073
0.79,0.9514424395527219
0.8,1.6775990443005124
0.81,2.243019962177333
0.8200000000000001,2.581405771219438
0.8300000000000001,2.643859295143921
0.84,2.4039986559856423
0.85,1.8612427242871146
0.86,1.041912189186971
0.87,-0.0020197674137316657
0.88,-1.196482652964503
0.89,-2.450914170761519
0.9,-3.6654687894677225
0.91,-4.739227822009305
0.92,-5.578707512987034
0.93,-6.10592222648754
0.9400000000000001,-6.265287429732501
0.9500000000000001,-6.0287400534704085
0.96,-5.39860415729979
0.97,-4.407924411905321
0.98,-3.1182113012198096
0.99,-1.6147701173730717
1,-6.368163355566237e-15
1.01,1.6147701173730593
1.02,3.1182113012198043
1.03,4.407924411905308
1.04,5.398604157299783
1.05,6.028740053470406
1.06,6.265287429732498
1.07,6.105922226487534
1.08,5.578707512987036
1.09,4.7392278220093
1.1,3.6654687894677167
1.11,2.450914170761506
1.12,1.1964826529645025
1.1300000000000001,0.0020197674137298893
1.1400000000000001,-1.0419121891869658
1.1500000000000001,-1.861242724287119
1.16,-2.403998655985631
1.17,-2.643859295143924
1.18,-2.5814057712194396
1.19,-2.243019962177337
1.2,-1.6775990443005175
1.21,-0.9514424395527211
1.22,-0.14182170783177273
1.23,0.6701527407744516
1.24,1.4067098382243506
1.25,1.9999999999999976
1.26,2.397516226956257
1.27,2.565915236725334
1.28,2.4929627170016606
1.29,2.1875104170525095
1.3,1.6775990443005104
1.31,1.00695198467755
1.32,0.23026476204954083
1.33,-0.5922086823558697
1.34,-1.40022740919498
1.35,-2.138757275712884
1.36,-2.7623138759936645
1.37,-3.2380877449135337
1.3800000000000001,-3.5476236621344035
1.3900000000000001,-3.6869821482612997
1.4000000000000001,-3.665468789467713
1.41,-3.503159844509521
1.42,-3.2275665038171475
1.43,-2.869854248987754
1.44,-2.461061364551886
1.45,-2.0287400534704094
1.46,-1.5943780921191726
1.47,-1.1718564344055362
1.48,-0.7670702920499011
1.49,-0.37870213987327805
1.5,4.901063119135766e-15
1.51,0.3787021398732737
1.52,0.7670702920498966
1.53,1.1718564344055313
1.54,1.5943780921191673
1.55,2.028740053470404
1.56,2.461061364551881
1.57,2.8698542489877497
1.58,3.2275665038171444
1.59,3.5031598445095185
1.6,3.665468789467726
1.61,3.686982148261295
1.62,3.547623662134397
1.6300000000000001,3.2380877449135257
1.6400000000000001,2.7623138759936543
1.6500000000000001,2.1387572757128925
1.6600000000000001,1.400227409194968
1.67,0.592208682355879
1.68,-0.23026476204953106
1.69,-1.0069519846775417
1.7,-1.6775990443005033
1.71,-2.1875104170525046
1.72,-2.4929627170016584
1.73,-2.5659152367253286
1.74,-2.39751622695626
1.75,-2.0000000000000036
1.76,-1.4067098382243586
1.77,-0.6701527407744666
1.78,0.1418217078317674
1.79,0.9514424395527119
1.8,1.6775990443005098
1.81,2.243019962177333
1.82,2.5814057712194334
1.83,2.6438592951439253
1.84,2.4039986559856352
1.85,1.861242724287117
1.86,1.0419121891869514
1.87,-0.0020197674137465427
1.8800000000000001,-1.1964826529645205
1.8900000000000001,-2.4509141707615143
1.9000000000000001,-3.665468789467725
1.9100000000000001,-4.739227822009313
1.92,-5.578707512987028
1.93,-6.105922226487531
1.94,-6.265287429732496
1.95,-6.02874005347041
1.96,-5.3986041572997925
1.97,-4.4079244119053325
1.98,-3.118211301219808
1.99,-1.6147701173730777
2,-1.2736326711132474e-14
2.0100000000000002,1.6147701173730944
2.02,3.118211301219786
2.0300000000000002,4.407924411905323
2.04,5.3986041572997845
2.05,6.028740053470391
2.06,6.265287429732499
2.07,6.105922226487545
2.08,5.578707512987038
2.09,4.7392278220093145
2.1,3.665468789467729
2.11,2.450914170761547
2.12,1.196482652964496
2.13,0.002019767413764084
2.14,-1.0419121891869667
2.15,-1.8612427242871066
2.16,-2.4039986559856454
2.17,-2.6438592951439155
2.18,-2.5814057712194334
2.19,-2.2430199621773266
2.2,-1.6775990443005053
2.21,-0.9514424395527377
2.22,-0.14182170783174808
2.23,0.6701527407744544
2.24,1.4067098382243617
2.25,1.9999999999999956
2.2600000000000002,2.3975162269562693
2.27,2.5659152367253197
2.2800000000000002,2.4929627170016504
2.29,2.1875104170525246
2.3000000000000003,1.6775990443004993
2.31,1.0069519846775532
2.32,0.23026476204955193
2.33,-0.5922086823558661
2.34,-1.4002274091949514
2.35,-2.1387572757128814
2.36,-2.7623138759936454
2.37,-3.238087744913524
2.38,-3.5476236621343933
2.39,-3.6869821482613125
